lambda_1_auth,lambda_2_index,lambda_3_verify,lambda_4_sync,lambda_5_queue,throughput_queries_per_second,fsn_utilization_stddev
0.0,0.4,0.0,0.6,0.0,10564.3106,0.081662
0.0,0.4,0.1,0.0,0.5,10528.8627,0.082254
0.0,0.4,0.1,0.1,0.4,10695.3473,0.076371
0.0,0.4,0.1,0.2,0.3,10654.8594,0.074567
0.0,0.4,0.1,0.3,0.2,11008.6875,0.076739
0.0,0.4,0.1,0.4,0.1,10942.5628,0.070111
0.0,0.4,0.1,0.5,0.0,9911.3106,0.06884
0.0,0.4,0.2,0.0,0.4,10702.1945,0.082009
0.0,0.4,0.2,0.1,0.3,10486.2935,0.07349
0.0,0.4,0.2,0.2,0.2,11016.7381,0.079835
0.0,0.4,0.2,0.3,0.1,11034.5083,0.074667
0.0,0.4,0.2,0.4,0.0,10571.5699,0.078081
0.0,0.4,0.3,0.0,0.3,11166.0892,0.067792
0.0,0.4,0.3,0.1,0.2,10891.1237,0.077996
0.0,0.4,0.3,0.2,0.1,10811.0317,0.075031
0.0,0.4,0.3,0.3,0.0,10615.8995,0.077341
0.0,0.4,0.4,0.0,0.2,10924.4738,0.07955
0.0,0.4,0.4,0.1,0.1,9921.191,0.065462
0.0,0.4,0.4,0.2,0.0,11188.2416,0.062991
0.0,0.4,0.5,0.0,0.1,10843.1163,0.079397
0.0,0.4,0.5,0.1,0.0,11564.52,0.071072
0.0,0.4,0.6,0.0,0.0,11212.3763,0.074903
0.0,0.5,0.0,0.0,0.5,10842.5402,0.083428
0.0,0.5,0.0,0.1,0.4,10653.9376,0.082156
0.0,0.5,0.0,0.2,0.3,10888.5551,0.081689
0.0,0.5,0.0,0.3,0.2,10592.7064,0.08451
0.0,0.5,0.0,0.4,0.1,10914.2532,0.080782
0.0,0.5,0.0,0.5,0.0,10768.4251,0.083329
0.0,0.5,0.1,0.0,0.4,10592.2397,0.080206
0.0,0.5,0.1,0.1,0.3,10708.656,0.072318
0.0,0.5,0.1,0.2,0.2,10459.8211,0.067186
0.0,0.5,0.1,0.3,0.1,11356.6585,0.074983
0.0,0.5,0.1,0.4,0.0,10386.8132,0.06515
0.0,0.5,0.2,0.0,0.3,11363.945,0.076162
0.0,0.5,0.2,0.1,0.2,10660.9081,0.07166
0.0,0.5,0.2,0.2,0.1,11046.2573,0.068612
0.0,0.5,0.2,0.3,0.0,11364.1323,0.073483
0.0,0.5,0.3,0.0,0.2,10567.5359,0.072613
0.0,0.5,0.3,0.1,0.1,10088.8902,0.068127
0.0,0.5,0.3,0.2,0.0,11062.3764,0.07241
0.0,0.5,0.4,0.0,0.1,10243.6965,0.071872
0.0,0.5,0.4,0.1,0.0,11429.7758,0.07131
0.0,0.5,0.5,0.0,0.0,10933.6913,0.077081
0.0,0.6,0.0,0.0,0.4,10883.9119,0.083267
0.0,0.6,0.0,0.1,0.3,10829.1079,0.08177
0.0,0.6,0.0,0.2,0.2,10930.3116,0.082159
0.0,0.6,0.0,0.3,0.1,10830.5482,0.081488
0.0,0.6,0.0,0.4,0.0,10784.8374,0.084455
0.0,0.6,0.1,0.0,0.3,10939.2351,0.07144
0.0,0.6,0.1,0.1,0.2,10980.5632,0.083322
0.0,0.6,0.1,0.2,0.1,10259.3713,0.064376
0.0,0.6,0.1,0.3,0.0,11145.0242,0.077868
0.0,0.6,0.2,0.0,0.2,10495.5131,0.074177
0.0,0.6,0.2,0.1,0.1,11089.4042,0.075276
0.0,0.6,0.2,0.2,0.0,10537.1546,0.072241
0.0,0.6,0.3,0.0,0.1,9751.5424,0.073754
0.0,0.6,0.3,0.1,0.0,10547.4963,0.078741
0.0,0.6,0.4,0.0,0.0,11174.4654,0.07899
0.0,0.7,0.0,0.0,0.3,10942.6047,0.087137
0.0,0.7,0.0,0.1,0.2,10606.7687,0.085316
0.0,0.7,0.0,0.2,0.1,10932.949,0.083496
0.0,0.7,0.0,0.3,0.0,10779.2039,0.080346
0.0,0.7,0.1,0.0,0.2,11007.1474,0.067904
0.0,0.7,0.1,0.1,0.1,10850.4625,0.080921
0.0,0.7,0.1,0.2,0.0,10471.27,0.071841
0.0,0.7,0.2,0.0,0.1,10797.6237,0.082878
0.0,0.7,0.2,0.1,0.0,10814.476,0.068475
0.0,0.7,0.3,0.0,0.0,11086.0505,0.080019
0.0,0.8,0.0,0.0,0.2,10846.8223,0.082845
0.0,0.8,0.0,0.1,0.1,10962.1946,0.083065
0.0,0.8,0.0,0.2,0.0,10737.6993,0.084864
0.0,0.8,0.1,0.0,0.1,10767.8025,0.07028
0.0,0.8,0.1,0.1,0.0,10745.2393,0.074836
0.0,0.8,0.2,0.0,0.0,10936.5636,0.080175
0.0,0.9,0.0,0.0,0.1,10642.914,0.082535
0.0,0.9,0.0,0.1,0.0,10489.6209,0.086006
0.0,0.9,0.1,0.0,0.0,10548.1382,0.078149
0.0,1.0,0.0,0.0,0.0,11323.4818,0.079137
0.1,0.0,0.0,0.0,0.9,10750.1856,0.083095
0.1,0.0,0.0,0.1,0.8,10865.6902,0.084236
0.1,0.0,0.0,0.2,0.7,10732.7529,0.083648
0.1,0.0,0.0,0.3,0.6,10611.5714,0.08257
0.1,0.0,0.0,0.4,0.5,10649.439,0.085053
0.1,0.0,0.0,0.5,0.4,10669.1328,0.082469
0.1,0.0,0.0,0.6,0.3,10630.984,0.084461
0.1,0.0,0.0,0.7,0.2,10662.8417,0.085346
0.1,0.0,0.0,0.8,0.1,10834.7093,0.08274
0.1,0.0,0.0,0.9,0.0,10505.5248,0.083745
0.1,0.0,0.1,0.0,0.8,10110.9679,0.071394
0.1,0.0,0.1,0.1,0.7,10689.3577,0.06426
0.1,0.0,0.1,0.2,0.6,11156.0663,0.06993
0.1,0.0,0.1,0.3,0.5,11192.2763,0.081889
0.1,0.0,0.1,0.4,0.4,11400.9187,0.073619
0.1,0.0,0.1,0.5,0.3,11073.5827,0.081575
0.1,0.0,0.1,0.6,0.2,10209.2029,0.072638
0.1,0.0,0.1,0.7,0.1,10589.7293,0.075402
0.1,0.0,0.1,0.8,0.0,9800.7623,0.068499
0.1,0.0,0.2,0.0,0.7,11355.4849,0.078816
0.1,0.0,0.2,0.1,0.6,10815.5895,0.079041
0.1,0.0,0.2,0.2,0.5,10645.8848,0.071902
0.1,0.0,0.2,0.3,0.4,10902.5228,0.068818
0.1,0.0,0.2,0.4,0.3,10999.4484,0.078892
0.1,0.0,0.2,0.5,0.2,10764.1989,0.074292
0.1,0.0,0.2,0.6,0.1,11177.2531,0.073924
0.1,0.0,0.2,0.7,0.0,11171.9236,0.075066
0.1,0.0,0.3,0.0,0.6,10927.992,0.073855
0.1,0.0,0.3,0.1,0.5,10792.2039,0.076875
0.1,0.0,0.3,0.2,0.4,10815.8703,0.078107
0.1,0.0,0.3,0.3,0.3,10594.5099,0.074037
0.1,0.0,0.3,0.4,0.2,10335.5423,0.064507
0.1,0.0,0.3,0.5,0.1,10577.5971,0.079081
0.1,0.0,0.3,0.6,0.0,10545.0827,0.069385
